DATE,TTAATASHCBSHNNCB_POP
2010-10-01,2.72800
2011-01-01,3.77914
2011-04-01,3.15179
2011-07-01,3.51264
2011-10-01,3.84674
2012-01-01,3.95034
2012-04-01,3.98981
2012-07-01,4.28027
2012-10-01,4.15764
2013-01-01,3.93103
2013-04-01,3.75529
2013-07-01,3.72866
2013-10-01,3.78005
2014-01-01,4.09220
2014-04-01,4.38562
2014-07-01,4.39328
2014-10-01,4.41796
2015-01-01,4.18027
2015-04-01,4.01590
2015-07-01,3.68832
2015-10-01,3.58876
2016-01-01,3.34503
2016-04-01,3.11664
2016-07-01,2.86205
2016-10-01,2.62716
2017-01-01,2.66596
2017-04-01,2.68838
2017-07-01,3.12403
2017-10-01,3.07820
2018-01-01,3.18058
2018-04-01,3.50266
2018-07-01,3.73579
2018-10-01,3.97249
2019-01-01,4.09433
2019-04-01,3.98988
2019-07-01,.
2019-10-01,.
